								
Roxanne	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	12	Geodude		-	Tackle	Rock Tomb	Defence Curl	-
Pokemon 2	12	Lileep		-	Wrap	Rock Tomb	Acid	Fossilize
Pokemon 3	15	Baltoy		Oran Berry	Rapid Spin	Rock Tomb	Harden	Fossilize
Rock and Ancient								
LEVEL CAP 19								
Brawly	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	16	Mankey			Monke Moment	Ooga Booga	Low Kick	-
Pokemon 2	16	Machop			Leer	Karate Chop	Tackle	Pee-Yew!
Pokemon 3	19	Sawk		Oran Berry	Double Kick	Focus Energy	Tackle	Pee-Yew!
Fighting and Stinky								
LEVEL CAP 24								
May/Brendan	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	18	Lombre		-	Base Level Up			
Pokemon 2	18	Slugma		-	Base Level Up			
Pokemon 3.1	20	Bayleef		-	Base Level Up			
Pokemon 3.2		Brionne		-	Base Level Up			
Pokemon 3.3		Braixen		-	Base Level Up			
Wally								
Pokemon 1	14	Eevee		-	Base Level Up			
Pokemon 2	14	Roselia		-	Base Level Up			
Pokemon 3	16	Ralts		-	Base Level Up			
Watson	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	20	Porygon		-	Prime Sub	Conversion	Hype Train	-
Pokemon 2	20	Rotom		-	Charge Beam	Confuse Ray	Charge	Hype Train
Pokemon 3	22	Pikachu		-	Shock Wave	Quick Attack	Pikattack	Thunder Wave
Pokemon 4	24	Whimsicott		Sitrus Berry	Prime Sub	-	Growth	Hype Train
Prime								
LEVEL CAP 29								
Flannery	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	24	Furret		-	Puff Up	Snug Strike	Sunny Day	Warm Hug
Pokemon 2	24	Arcanine		-	Flame Charge	Bite	Cuddle Slam	Warm Hug
Pokemon 3	26	Flareon		-	Flame Charge	Sunny Day	Covet	Warm Hug
Pokemon 4	29	Ninetales		Sitrus Berry	Mystical Fire	Snug Strike	Etherwave	Warm Hug
Fire and Fluffy								
LEVEL CAP 31								
Norman	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	27	Floatzel		-	Warm Hug	Aqua Jet	Brine	Glomp
Pokemon 2	27	Vaporeon		-	Water Pulse	Acid Armor	Glomp	-
Pokemon 3	29	Lucario		-	Bone Rush	Metal Claw	Force Palm	Glomp
Pokemon 4	31	Lopunny		Sitrus Berry	Attract	Cuddle Slam	Submission	Glomp
Furry								
LEVEL CAP 33								
May/Brendan	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	29	Lombre			Base Level Up			
Pokemon 2	29	Slugma			Base Level Up			
Pokemon 3.1	31	Bayleef			Base Level Up			
Pokemon 3.2		Brionne			Base Level Up			
Pokemon 3.3		Braixen			Base Level Up			
Winona	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	29	Ludicolo	Groovy	-	Groove Pulse	Water Pulse	Samba Strike	Flash Mob
Pokemon 2	29	Maractus		-	Static Shuffle	Mega Drain	Vibe Shift	Flash Mob
Pokemon 3	30	Chatot		-	Chatter	Vibe Shift	Aerial Ace	Flash Mob
Pokemon 4	31	Exploud		-	Fire Fang	Uproar	Echoed Voice	Flash Mob
Pokemon 5	33	Altaria		Sitrus Berry	Dragon Dance	Break It Down	Fluffy Fury	Flash Mob
Song and Dance								
LEVEL CAP 42								
May/Brendan	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	31	Kangaskhan		-	Base Level Up			
Pokemon 2	32	Lombre		-	Base Level Up			
Pokemon 3	32	Slugma		-	Base Level Up			
Pokemon 4.1	36	Meganium		Sitrus Berry	Base Level Up			
Pokemon 4.2		Primarina			Base Level Up			
Pokemon 4.3		Delphox			Base Level Up			
Clay	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	41	Duraludon		-	Protect	Flash Cannon	Shoot	Dragon Pulse
Pokemon 2	41	Bouffalant		-	Riot	Deport	Head Charge	Rodeo
Pokemon 3	42	Hitmonchan		-	Protect	Mach Punch	Bare Arms	Rodeo
Pokemon 4	42	Braviary		Sitrus Berry	Bare Arms	Rodeo	Shoot	RootinTootin
Republical Ohio (Double)								
LEVEL CAP 46								
Juan	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	41	Crawdaunt		-	Waterfall	Crabhammer	Carcinization	Crab Rave
Pokemon 2	41	Crustle		-	X-Scissor	Stone Edge	Shell Smash	Crab Rave
Pokemon 3	43	Crabominable		-	Carcinization	Ice Hammer	Crab Hammer	Crab Rave
Pokemon 4	43	Machamp		-	Carcinization	Close Combat	Rock Slide	Crab Rave
Pokemon 5	46	Kingler		Sitrus Berry	Carcinization	Crabhammer	Guillotine	Crab Rave
Crab								
LEVEL CAP 58								
Wally	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
Pokemon 1	44	G-Rapidash		-				
Pokemon 2	43	Roserade		-				
Pokemon 3	44	Sylveon		-				
Pokemon 4	41	Milotic		-				
Pokemon 5	45	Gallade		Sitrus Berry				
Gender								
Sidney	Level	Species [Form]		Item	Move 1	Move 2	Move 3	Move 4
