MOVE,TYPE,EFFECT,MOVE ANIMATION
5 NIGHTS,GAMER,"Future Sight 5 turns after, 250 BP hits ALL","Perish song, but fnaf song when you lose power in the first game"
9 TO 5,BORING,80% sleep ,"Background becomes an office, user bounces once, then target bounces once"
APE ESCAPE,MONKE,70 BP U-Turn,"ducks down, attacks, cries, then leaves"
AXE,STINKY,Paralysis,"Blue yawn clouds encircle user, then target"
BABIFY,BABY,Adds Baby type to mon,"Mon tears up, shortly after, opponent mon tears"
BACKTOMONKE,MONKE,Changes mon to Monke Type,"Monke sprite appears quickly above the opponent, with a monkey sound"
BAD TIME,???,Badly Poisons Opponent,"bones shoot up from the ground like w/ precipice blades, add undertale hit sounds if possible"
BALL PIT,FURRY,"10BP Multihit 2-5 times, 10% to Burn, Posion, Sleep, Confuse or Flinch",Multicolored spheres barrage the opponent
BANANA BLITZ,MONKE,120 BP Recoil,"Double edge plus cry, banana particles on hit (?)"
BARBECUE,OHIO,Synthesis,"Mist steam circle around sprite, if possible, make the steam red"
BARE ARMS,RIGHT,"Punching type move, Close Combat",Various punching with shooting sound effect
BEAN BOMB,BEAN,90bp Special,
BORN TO SHIT,STINKY,"60BP, 85 ACC, TOXIC ON HIT","Sludge bomb, if possible, turn projectiles brown"
BREAK IT DOWN,DANCE,"70bp physical, may burn opponent","Strength with fire particles, kinda like overheat and outrage combined"
CARCINIZATION,CRAB,Changes mon to Crab Type,rock tomb with falling crabs instead
CHA CHA,DANCE,85bp physical,Sprite spins in a circle before striking
CHICKPEA CHARM,BEAN,Baby Doll Eyes,
CONTENT,PRIME,"Metronome - Only 1HKO moves, self-destruct moves, or type changing moves",spinning question marks
CRAB RAVE,CRAB,Dragon dance,"Waterfall shake with little bubbles, sprite bouncing around like in the infamous crab rave"
CUDDLE SLAM,FLUFFY,Slam,"Slam, but fluff scatters off of target"
DAB ME UP,GUYS,GUYS type Helping Hand,"2 hands clap, come up, then back down"
DEPORT,RIGHT,Whirlwind,"Slam, but enemy sprite is sent off screen"
DISCO DROP,DANCE,70bp Special,Falling disco ball on target
DOLLAR ON A BILL,SILLY,SWAGGER,Dollar sprite spinning around enemy before coming back to user
DOUBLE JUMP,GENDER,Bounce/Fly,"sprite ""double jumps"" (?) off screen"
DREAMWEAVE,DREAM,70bp SpAtk - Psyshock,Fairy wind + omininous wind effect
EAT CRACKER,BORING,Recover,Eats a cracker
EERIE ECHO,DREAM,Confusion,"Hyper voice ""circle"", but just one"
EJECT,SUS,Forces opponent to switch out,"Emergency meeting button sound, button appears on screen, oppenent forced out"
ELDRITCH BLAST,MAGIC,40BP,Signal beam
ETHERWAVE,DREAM,Psywave,Psywave with moonlight/moonblast background
FILE W9,BORING,Dec Atk on target by 2,Background becomes a w-9 form
FILLABUSTER,RIGHT,Silk Trap,Throws words?
FIREBALL,MAGIC,"95 BP Spread, like surf",Big red ice ball crashes in middle of field
FLASH MOB,DANCE,Applies DANCE floor,"Flash, then user dances"
FLUFFY FURY,FLUFFY,"95bp, 90 acc, physical","Return 255 aniamtion, each hit adds a cotton cloud"
FOSSILIZE,ANCIENT,"BP 40, chance to flinch",Rock Tomb rocks fall progressively faster until target is burried
GASTER BLASTER,???,"95 BP, 10% toxic",Blue hyper beam
GLOMP,FURRY,"70 BP, chance to flinch","Bounce, but both parts play"
GROOVE PULSE,VIBE,70bp Special move,Terrain Pulse with psychic attack background
HAPPY FEET,DANCE,Flame charge - raises speed,Teeter dance movement with flame wheel particles
HEY CHILL,VIBE,50bp special move. May freeze target,"User shakes, then target turns blue like with some ice moves, ice particles on ""hit"""
HUG,FRIEND,decreases attack,"Charm, or, both sprites come together?"
HYPE TRAIN,PRIME,Rollout,"Showering of bits, successful consecutive hits give more bits"
HYPNO GOGGLES,SILLY,SLEEP,"hypnosis with ""weird"" sound"
IMPEACH,LEFT,Does nothing,"Bonemerang animation of ""throwing item"", item is knock off projectile"
IMPOSTER,SUS,Substitute,"User dissapears, in place is a crewmate with the amongus sound"
KIDNEY CRASH,BEAN,"Physical, Recoil Damage",
KISS THE HOMIES,GUYS,heal an ally,lovely kiss
LENTIL LEECH,BEAN,Giga Drain,Giga Drain
LET ME BALL,BALL,"Present, but higher bp",Present sprite replaced with
LIMA LASH,BEAN,50bp Physical,Vine Whip
LULLABY,DREAM,Icy wind,Sing with moonlight/moonblast background
MAGE ARMOR,MAGIC,"Protect against damaging move, if hit, raise evasion by 1","Safeguard, then harden"
MAGIC MISSILE,MAGIC,"20 BP, Sure Hit, 3 Hit multihit","Fast poison sting 3 times, no poison effect or sound"
